insee,name,opacity
01001,L'Abergement-Clémenciat,48
01002,L'Abergement-de-Varey,31
01004,Ambérieu-en-Bugey,76
01005,Ambérieux-en-Dombes,64
01006,Ambléon,24
01007,Ambronay,57
01008,Ambutrix,67
01009,Andert-et-Condon,48
01010,Anglefort,40
01011,Apremont,32
01012,Aranc,18
01013,Arandas,13
01014,Arbent,68
01015,Arbignieu,41
01016,Arbigny,29
01017,Argis,50
01019,Armix,5
01021,Ars-sur-Formans,72
01022,Artemare,74
01023,Asnières-sur-Saône,19
01024,Attignat,70
01025,Bâgé-la-Ville,58
01026,Bâgé-le-Châtel,78
01027,Balan,69
01028,Baneins,54
01029,Beaupont,48
01030,Beauregard,78
01031,Bellignat,76
01032,Béligneux,72
01033,Bellegarde-sur-Valserine,77
01034,Belley,76
01035,Belleydoux,24
01036,Belmont-Luthézieu,32
01037,Bénonces,23
01038,Bény,42
01039,Béon,44
01040,Béréziat,45
01041,Bettant,72
01042,Bey,61
01043,Beynost,76
01044,Billiat,42
01045,Birieux,21
01046,Biziat,57
01047,Blyes,62
01049,La Boisse,74
01050,Boissey,38
01051,Bolozon,23
01052,Bouligneux,14
01053,Bourg-en-Bresse,78
01054,Bourg-Saint-Christophe,67
01056,Boyeux-Saint-Jérôme,27
01057,Boz,55
01058,Brégnier-Cordon,59
01059,Brénaz,11
01060,Brénod,28
01061,Brens,70
01062,Bressolles,63
01063,Brion,65
01064,Briord,58
01065,Buellas,70
01066,La Burbanche,8
01067,Ceignes,31
01068,Cerdon,53
01069,Certines,61
01071,Cessy,77
01072,Ceyzériat,74
01073,Ceyzérieu,48
01074,Chalamont,57
01075,Chaleins,55
01076,Chaley,36
01077,Challes-la-Montagne,29
01078,Challex,69
01079,Champagne-en-Valromey,45
01080,Champdor,32
01081,Champfromier,27
01082,Chanay,40
01083,Chaneins,54
01084,Chanoz-Châtenay,51
01085,La Chapelle-du-Châtelard,33
01087,Charix,19
01088,Charnoz-sur-Ain,67
01089,Château-Gaillard,65
01090,Châtenay,28
01091,Châtillon-en-Michaille,60
01092,Châtillon-la-Palud,64
01093,Châtillon-sur-Chalaronne,73
01094,Chavannes-sur-Reyssouze,45
