insee,name
01-01,Ambérieu-en-Bugey
01-02,Attignat
01-03,Bellegarde-sur-Valserine
01-04,Belley
01-05,Bourg-en-Bresse-1
01-06,Bourg-en-Bresse-2
01-07,Ceyzériat
01-08,Châtillon-sur-Chalaronne
01-09,Gex
01-10,Hauteville-Lompnes
01-11,Lagnieu
01-12,Meximieux
01-13,Miribel
01-14,Nantua
01-15,Oyonnax
01-16,Pont-d'Ain
01-17,Replonges
01-18,Saint-Etienne-du-Bois
01-19,Saint-Genis-Pouilly
01-20,Thoiry
01-21,Trévoux
01-22,Villars-les-Dombes
01-23,Vonnas
02-01,Bohain-en-Vermandois
02-02,Château-Thierry
02-03,Chauny
02-04,Essômes-sur-Marne
02-05,Fère-en-Tardenois
02-06,Guignicourt
02-07,Guise
02-08,Hirson
02-09,Laon-1
02-10,Laon-2
02-11,Marle
02-12,Ribemont
02-13,Saint-Quentin-1
02-14,Saint-Quentin-2
02-15,Saint-Quentin-3
02-16,Soissons-1
02-17,Soissons-2
02-18,Tergnier
02-19,Vervins
02-20,Vic-sur-Aisne
02-21,Villers-Cotterêts
03-01,Bellerive-sur-Allier
03-02,Bourbon-l'Archambault
03-03,Commentry
03-04,Cusset
03-05,Dompierre-sur-Besbre
03-06,Gannat
03-07,Huriel
03-08,Lapalisse
03-09,Montluçon-1
03-10,Montluçon-2
03-11,Montluçon-3
03-12,Montluçon-4
03-13,Moulins-1
03-14,Moulins-2
03-15,Saint-Pourçain-sur-Sioule
03-16,Souvigny
03-17,Vichy-1
03-18,Vichy-2
03-19,Yzeure
04-01,Barcelonnette
04-02,Castellane
04-03,Château-Arnoux-Saint-Auban
04-04,Digne-les-Bains-1
04-05,Digne-les-Bains-2
04-06,Forcalquier
04-07,Manosque-1
04-08,Manosque-2
04-09,Manosque-3
04-10,Oraison
04-11,Reillanne
04-12,Riez
04-13,Seyne
04-14,Sisteron
04-15,Valensole
05-01,L'Argentière-la-Bessée
05-02,Briançon-1
05-03,Briançon-2
05-04,Chorges
05-05,Embrun
05-06,Gap-1
05-07,Gap-2
05-08,Gap-3
05-09,Gap-4
05-10,Guillestre
05-11,Laragne-Montéglin
05-12,Saint-Bonnet-en-Champsaur
05-13,Serres
05-14,Tallard
05-15,Veynes
06-01,Antibes-1
06-02,Antibes-2
06-03,Antibes-3
