insee,opacity
01001,48
01002,31
01004,76
01005,63
01006,24
01007,57
01008,67
01009,48
01010,40
01011,32
01012,18
01013,14
01014,68
01015,41
01016,29
01017,50
01019,5
01021,72
01022,74
01023,19
01024,70
01025,58
01026,78
01027,68
01028,54
01029,47
01030,78
01031,76
01032,72
01033,77
01034,76
01035,24
01036,32
01037,23
01038,42
01039,43
01040,44
01041,72
01042,61
01043,76
01044,42
01045,21
01046,56
01047,62
01049,74
01050,37
01051,23
01052,14
01053,78
01054,67
01056,27
01057,55
01058,59
01059,11
01060,28
01061,70
01062,63
01063,64
01064,57
01065,70
01066,8
01067,31
01068,52
01069,60
01071,77
01072,74
01073,48
01074,57
01075,55
01076,36
01077,29
01078,69
01079,45
01080,32
01081,27
01082,39
01083,54
01084,50
01085,33
01087,19
01088,67
01089,65
01090,28
01091,59
01092,64
01093,73
01094,45
01095,35
01096,52
01097,33
01098,58
01099,56
01100,30
01101,30
01102,50
01103,72
01104,12
01105,56
01106,41
01107,22
01108,55
01109,66
01110,25
01111,9
01112,60
01113,40
01114,47
01115,55
01116,40
01117,25
01118,41
01119,21
01121,28
01122,44
01123,64
01124,38
01125,33
01127,38
01128,35
01129,25
01130,62
01133,47
01134,67
01135,56
01136,56
01138,68
01139,24
01140,52
01141,60
01142,77
01143,72
01144,48
01145,43
01146,59
01147,36
01148,63
01149,70
01150,33
01151,51
01152,33
01153,64
01154,54
01155,15
01156,54
01157,73
01158,54
01159,71
01160,78
01162,29
01163,48
01165,64
01166,72
01167,58
01169,68
01170,71
01171,73
01172,19
01173,74
01174,22
01175,65
01176,6
01177,29
01179,66
01180,63
01181,70
01182,48
01183,74
01184,40
01185,58
01186,10
01187,12
01188,34
01189,41
01190,10
01191,16
01192,64
01193,33
01194,78
01195,60
01196,54
01197,67
01198,18
01199,67
01200,28
01202,72
01203,64
01204,21
01205,64
01206,42
01207,18
01208,30
01209,50
01210,16
01211,45
01212,39
01213,60
01214,20
01215,18
01216,40
01218,17
01219,15
01221,12
01224,67
01225,59
01227,55
01228,52
01229,65
01230,34
01231,68
01232,51
01233,12
01234,45
01235,52
01236,50
01237,65
01238,77
01239,54
01240,35
01241,57
01242,43
01243,71
01244,76
01245,40
01246,64
01247,22
01248,64
01249,75
01250,72
01252,60
01254,66
01255,60
01257,30
01258,66
01259,62
01260,19
01261,52
01262,70
01263,78
01264,55
01265,73
01266,72
01267,50
01268,42
01269,73
01271,51
01272,51
01273,58
01274,54
01275,76
01276,67
01277,19
01279,15
01280,12
01281,77
01282,44
01283,77
01284,62
01285,75
01286,54
01288,60
01289,75
01290,54
01291,56
01292,6
01293,34
01294,52
01295,54
01296,34
01297,55
01298,27
01299,32
01300,30
01301,65
01302,44
01303,60
01304,72
01305,74
01306,77
01307,71
01308,63
01309,18
01310,34
01311,6
01312,42
01313,76
01314,62
01316,40
01317,33
01318,56
01319,41
01320,72
01321,64
01322,73
01323,63
01325,54
01328,32
01329,22
01330,17
01331,25
01332,72
01333,67
01334,52
01335,40
01336,46
01337,57
01338,41
01339,76
01340,17
01341,34
01342,48
01343,63
01344,76
01345,77
01346,52
01347,73
01348,64
01349,36
01350,60
01351,56
01352,42
01353,75
01354,78
01355,42
01356,40
01357,42
