insee,unemployement
01001,6.3
01002,6.0
01004,10.7
01005,4.7
01006,2.6
01007,6.7
01008,6.1
01009,6.1
01010,9.2
01011,8.3
01012,5.0
01013,7.5
01014,9.3
01015,7.7
01016,6.0
01017,9.7
01019,0.0
01021,4.6
01022,7.2
01023,2.3
01024,5.6
01025,5.9
01026,10.0
01027,2.7
01028,5.5
01029,4.6
01030,9.4
01031,10.9
01032,8.0
01033,13.7
01034,9.5
01035,4.2
01036,6.1
01037,4.0
01038,3.3
01039,11.0
01040,5.4
01041,7.8
01042,6.4
01043,6.7
01044,7.7
01045,4.0
01046,5.9
01047,4.4
01049,5.4
01050,4.7
01051,6.2
01052,4.3
01053,11.4
01054,4.2
01056,8.4
01057,6.9
01058,7.4
01059,3.4
01060,2.9
01061,5.8
01062,2.9
01063,5.0
01064,7.8
01065,4.6
01066,15.9
01067,6.7
01068,9.2
01069,5.0
01071,5.8
01072,6.3
01073,4.6
01074,5.9
01075,5.1
01076,10.0
01077,8.2
01078,5.4
01079,7.1
01080,5.6
01081,7.5
01082,5.5
01083,4.8
01084,6.2
01085,6.5
01087,7.1
01088,5.1
01089,7.2
01090,4.8
01091,6.1
01092,5.4
01093,7.8
01094,8.3
01095,6.7
01096,5.3
01097,2.2
01098,7.5
01099,6.2
01100,5.7
01101,3.5
01102,5.0
01103,5.6
01104,3.6
01105,5.7
01106,9.2
01107,6.5
01108,6.4
01109,8.4
01110,7.5
01111,4.5
01112,5.0
01113,5.8
01114,7.6
01115,4.9
01116,8.5
01117,8.8
01118,5.3
01119,2.4
01121,9.1
01122,6.1
01123,5.8
01124,4.5
01125,8.2
01127,8.5
01128,4.3
01129,2.3
01130,3.1
01133,5.9
01134,5.0
01135,6.9
01136,4.9
01138,7.6
01139,6.1
01140,4.7
01141,6.7
01142,7.1
01143,6.5
01144,3.9
01145,6.2
01146,7.4
01147,8.8
01148,8.6
01149,4.0
01150,3.4
01151,5.2
01152,5.6
01153,6.1
01154,6.6
01155,9.4
01156,3.2
01157,4.0
01158,4.8
01159,6.6
01160,10.5
01162,3.3
01163,5.2
01165,4.8
01166,4.7
01167,4.5
01169,5.4
01170,6.0
01171,9.3
01172,6.6
01173,8.6
01174,8.2
01175,8.7
01176,6.9
01177,9.5
01179,6.9
01180,4.6
01181,5.1
01182,7.3
01183,5.7
01184,6.5
01185,5.8
01186,0.0
01187,6.8
01188,4.3
01189,8.6
01190,2.8
01191,0.0
01192,6.8
01193,11.3
01194,7.2
01195,4.6
01196,4.4
01197,3.5
01198,9.7
01199,10.3
01200,8.9
01202,7.6
01203,5.3
01204,7.8
01205,8.8
01206,1.8
01207,1.4
01208,4.6
01209,8.5
01210,5.3
01211,4.3
01212,6.2
01213,7.0
01214,8.5
01215,3.8
01216,7.1
01218,7.1
01219,8.6
01221,1.6
01224,9.0
01225,4.4
01227,7.0
01228,5.6
01229,4.1
01230,7.9
01231,4.8
01232,4.0
01233,4.8
01234,1.8
01235,5.5
01236,7.1
01237,7.3
01238,4.6
01239,4.7
01240,6.6
01241,6.1
01242,12.2
01243,5.4
01244,7.6
01245,6.2
01246,7.7
01247,0.8
01248,5.5
01249,7.8
01250,4.6
01252,4.9
01254,3.6
01255,9.6
01257,5.1
01258,7.2
01259,4.3
01260,5.7
01261,4.9
01262,10.6
01263,6.2
01264,4.3
01265,8.8
01266,7.5
01267,6.0
01268,7.3
01269,12.5
01271,6.7
01272,7.4
01273,8.0
01274,10.2
01275,5.7
01276,4.5
01277,5.5
01279,6.5
01280,13.2
01281,8.0
01282,2.3
01283,13.3
01284,4.9
01285,5.3
01286,7.0
01288,4.9
01289,5.5
01290,6.6
01291,4.9
01292,6.0
01293,2.6
01294,6.1
01295,6.2
01296,6.5
01297,4.6
01298,10.7
01299,5.2
01300,5.6
01301,4.8
01302,3.0
01303,8.6
01304,9.9
01305,10.5
01306,9.0
01307,9.6
01308,8.1
01309,1.9
01310,3.6
01311,10.3
01312,6.2
01313,6.2
01314,6.2
01316,7.7
01317,5.9
01318,3.6
01319,4.1
01320,6.5
01321,4.2
01322,5.7
01323,6.2
01325,5.2
01328,2.9
01329,9.9
01330,7.7
01331,4.5
01332,5.0
01333,3.6
01334,4.5
01335,4.4
01336,7.3
01337,6.7
01338,7.0
01339,5.1
01340,3.9
01341,10.2
01342,3.3
01343,4.1
01344,5.1
01345,6.8
01346,5.0
01347,4.9
01348,6.9
01349,1.9
01350,4.8
01351,6.7
01352,7.5
01353,5.4
01354,8.5
01355,6.6
01356,6.9
01357,11.1
01358,8.4
01359,3.0
01360,4.1
01361,4.2
01362,3.4
01363,6.9
01364,9.4
01365,2.8
01366,6.2
01367,7.3
01368,5.7
01369,4.1
01370,12.6
